cut_idx,fPhase,canon_tt,cut_delay
63,1,30591, -1.000000
64,0,524287, -1.000000
64,1,8191, -1.000000
65,0,17822207, -1.000000
65,1,520439, -1.000000
66,0,17825791, -1.000000
66,1,3967, -1.000000
67,0,524287, -1.000000
67,1,8191, -1.000000
68,0,17822207, -1.000000
68,1,520439, -1.000000
69,0,17825791, -1.000000
69,1,3967, -1.000000
70,0,101058294, -1.000000
70,1,116848374, -1.000000
71,0,2004318071, 27.879999
71,1,286331153, 18.620001
72,0,522133279, 21.020000
72,1,117901063, 21.030001
73,0,2139062143, 31.150000
73,1,16843009, 22.879999
74,0,1602183039, 24.190001
74,1,17105157, 35.830002
75,0,2004318071, 17.670000
75,1,286331153, 24.280001
76,0,387389207, 31.980000
76,1,387389207, 31.980000
77,0,522133279, 21.020000
77,1,117901063, 26.590000
78,0,522133279, 25.350000
78,1,117901063, 21.030001
79,0,20382007, -1.000000
79,1,327095167, -1.000000
80,0,33489407, 25.920000
80,1,8323199, 25.270000
81,0,134154239, -1.000000
81,1,2031647, -1.000000
82,0,287248671, 23.030001
82,1,125241207, 30.080000
83,0,17170431, -1.000000
83,1,24447, -1.000000
84,0,3343671, 35.500000
84,1,325006335, 28.770000
85,0,2004318071, 17.670000
85,1,286331153, 18.620001
86,0,2004318071, 17.670000
86,1,286331153, 18.620001
87,0,1717986918, 35.900002
87,1,1717986918, 35.639999
88,0,2004318071, 17.670000
88,1,286331153, 24.280001
89,0,522133279, 21.020000
89,1,117901063, 26.590000
90,0,522133279, 21.020000
90,1,117901063, 21.030001
91,0,2004318071, 27.879999
91,1,286331153, 18.620001
92,0,1465341783, 25.350000
92,1,353703189, 21.030001
93,0,2139062143, 21.379999
93,1,16843009, 26.600000
94,0,1869573999, -1.000000
94,1,101058054, -1.000000
95,0,536813567, 24.190001
95,1,458759, 26.000000
96,0,259985279, -1.000000
96,1,17760527, -1.000000
97,0,536813567, 24.190001
97,1,458759, 35.830002
98,0,259985279, -1.000000
98,1,17760527, -1.000000
99,0,402593791, -1.000000
99,1,1507351, -1.000000
100,0,2004842367, 24.190001
100,1,17891601, 26.000000
101,0,1879011327, -1.000000
101,1,393222, -1.000000
102,0,287309823, 28.690001
102,1,1911, 37.939999
103,0,134217727, -1.000000
103,1,31, -1.000000
104,0,33554431, 30.549999
104,1,127, 30.360001
105,0,20447231, -1.000000
105,1,4991, -1.000000
106,0,522133503, 36.279999
106,1,460551, 29.040001
107,0,936247295, -1.000000
107,1,4940, -1.000000
108,0,268402687, -1.000000
108,1,65551, -1.000000
109,0,522133503, 28.690001
109,1,460551, 37.939999
110,0,1718616063, -1.000000
110,1,1638, -1.000000
111,0,268402687, -1.000000
111,1,65551, -1.000000
112,0,936214495, -1.000000
112,1,17044300, -1.000000
113,0,387389439, -1.000000
113,1,1513239, -1.000000
114,0,2004318071, 17.670000
114,1,286331153, 24.280001
115,0,2139062143, 21.379999
115,1,16843009, 26.600000
116,0,522133279, 25.350000
116,1,117901063, 21.030001
117,0,1869573999, -1.000000
117,1,101058054, -1.000000
118,0,134154239, -1.000000
118,1,2031647, -1.000000
119,0,536813567, 24.190001
119,1,458759, 35.830002
120,0,134154239, -1.000000
120,1,2031647, -1.000000
121,0,536813567, 24.190001
121,1,458759, 35.830002
122,0,402593791, -1.000000
122,1,1507351, -1.000000
123,0,536813567, 24.190001
123,1,458759, 26.000000
124,0,1718576751, -1.000000
124,1,107349606, -1.000000
125,0,125304831, -1.000000
125,1,4383, -1.000000
126,0,2097151, -1.000000
126,1,2047, -1.000000
127,0,8388607, -1.000000
127,1,511, -1.000000
128,0,327155711, -1.000000
128,1,311, -1.000000
129,0,134217727, -1.000000
129,1,31, -1.000000
130,0,869040095, -1.000000
130,1,17052620, -1.000000
131,0,287309823, 28.690001
131,1,1911, 29.040001
132,0,134217727, -1.000000
132,1,31, -1.000000
133,0,1717989375, -1.000000
133,1,419430, -1.000000
134,0,287309823, 28.690001
134,1,1911, 29.040001
135,0,936214495, -1.000000
135,1,17044300, -1.000000
136,0,402653183, -1.000000
136,1,23, -1.000000
137,0,1717986918, 35.639999
137,1,1717986918, 35.900002
138,0,2004318071, 27.879999
138,1,286331153, 18.620001
139,0,1768515945, -1.000000
139,1,1768515945, -1.000000
140,0,505290270, -1.000000
140,1,505290270, -1.000000
141,0,1448498774, -1.000000
141,1,1448498774, -1.000000
142,0,522133279, 25.350000
142,1,117901063, 21.030001
143,0,522133279, 21.020000
143,1,117901063, 26.590000
144,0,1718183529, -1.000000
144,1,1718183529, -1.000000
145,0,287183134, -1.000000
145,1,518921966, -1.000000
146,0,401086440, -1.000000
146,1,401086440, -1.000000
147,0,385226486, -1.000000
147,1,112592566, -1.000000
148,0,133695480, -1.000000
148,1,133695480, -1.000000
149,0,385226486, -1.000000
149,1,112592566, -1.000000
150,0,133695480, -1.000000
150,1,133695480, -1.000000
151,0,117376767, -1.000000
151,1,7274607, -1.000000
152,0,116786934, -1.000000
152,1,116786934, -1.000000
153,0,117376767, -1.000000
153,1,7274607, -1.000000
154,0,134154239, -1.000000
154,1,2031647, -1.000000
155,0,252776209, -1.000000
155,1,259460983, -1.000000
156,0,33489407, 25.920000
156,1,8323199, 25.270000
157,0,33489407, 28.330000
157,1,8323199, 25.270000
158,0,364844479, -1.000000
158,1,27984299, -1.000000
159,0,369038847, -1.000000
159,1,5701719, -1.000000
160,0,387389416, -1.000000
160,1,387389416, -1.000000
161,0,919170195, -1.000000
161,1,919170195, -1.000000
162,0,375846502, -1.000000
162,1,107394662, -1.000000
163,0,1717987737, -1.000000
163,1,1717987737, -1.000000
164,0,117901304, -1.000000
164,1,133757176, -1.000000
165,0,375846502, -1.000000
165,1,107394662, -1.000000
166,0,869035155, -1.000000
166,1,869035155, -1.000000
167,0,117901304, -1.000000
167,1,133757176, -1.000000
168,0,20446920, -1.000000
168,1,20446920, -1.000000
169,0,8388480, -1.000000
169,1,8388480, -1.000000
170,0,2091240, -1.000000
170,1,134211816, -1.000000
171,0,125298920, -1.000000
171,1,287303912, -1.000000
172,0,107413503, -1.000000
172,1,26223, -1.000000
173,0,432543, -1.000000
173,1,107388927, -1.000000
174,0,458742, -1.000000
174,1,458742, -1.000000
175,0,458751, -1.000000
175,1,28671, -1.000000
176,0,524287, -1.000000
176,1,8191, -1.000000
177,0,17952767, -1.000000
177,1,126703, -1.000000
178,0,252776721, -1.000000
178,1,259487607, -1.000000
179,0,17956863, -1.000000
179,1,30591, -1.000000
180,0,1572863, -1.000000
180,1,6143, -1.000000
181,0,301960846, -1.000000
181,1,7835278, -1.000000
182,0,16717591, -1.000000
182,1,16717591, -1.000000
183,0,1572863, -1.000000
183,1,6143, -1.000000
184,0,524287, -1.000000
184,1,8191, -1.000000
185,0,17822207, -1.000000
185,1,520439, -1.000000
186,0,17825791, -1.000000
186,1,3967, -1.000000
187,0,2097151, -1.000000
187,1,2047, -1.000000
188,0,117960959, -1.000000
188,1,1044977, -1.000000
189,0,16713479, -1.000000
189,1,16719647, -1.000000
190,0,524287, -1.000000
190,1,8191, -1.000000
191,0,524287, -1.000000
191,1,8191, -1.000000
192,0,17822207, -1.000000
192,1,520439, -1.000000
193,0,17825791, -1.000000
193,1,3967, -1.000000
194,0,2097151, -1.000000
194,1,2047, -1.000000
195,0,7864079, -1.000000
195,1,1048337, -1.000000
196,0,16713479, -1.000000
196,1,16719647, -1.000000
197,0,524287, -1.000000
197,1,8191, -1.000000
198,0,101058294, -1.000000
198,1,116848374, -1.000000
199,0,2004318071, 17.670000
199,1,286331153, 24.280001
200,0,522133279, 21.020000
200,1,117901063, 21.030001
201,0,522133279, 21.020000
201,1,117901063, 26.590000
202,0,134154239, -1.000000
202,1,2031647, -1.000000
203,0,134154239, -1.000000
203,1,2031647, -1.000000
204,0,402593791, -1.000000
204,1,1507351, -1.000000
205,0,287248671, 29.410000
205,1,125241207, 22.709999
206,0,125304831, -1.000000
206,1,4383, -1.000000
207,0,2097151, -1.000000
207,1,2047, -1.000000
208,0,8388607, -1.000000
208,1,511, -1.000000
209,0,327155711, -1.000000
209,1,311, -1.000000
210,0,3366783, -1.000000
210,1,17118207, -1.000000
211,0,286334975, -1.000000
211,1,489335, -1.000000
212,0,87515007, -1.000000
212,1,17109855, -1.000000
213,0,2004318071, 17.670000
213,1,286331153, 24.280001
214,0,387389207, 33.799999
214,1,387389207, 31.980000
215,0,522133279, 25.350000
215,1,117901063, 21.030001
216,0,522133279, 21.020000
216,1,117901063, 26.590000
217,0,393680759, -1.000000
217,1,286724375, -1.000000
218,0,134154239, -1.000000
218,1,2031647, -1.000000
219,0,134154239, -1.000000
219,1,2031647, -1.000000
220,0,287248671, 29.410000
220,1,125241207, 22.709999
221,0,20386687, -1.000000
221,1,20386687, -1.000000
222,0,286750583, -1.000000
222,1,286332791, -1.000000
223,0,20395007, -1.000000
223,1,3347327, -1.000000
224,0,125304831, -1.000000
224,1,4383, -1.000000
225,0,1572863, -1.000000
225,1,6143, -1.000000
226,0,2097151, -1.000000
226,1,2047, -1.000000
227,0,2097151, -1.000000
227,1,2047, -1.000000
228,0,286334975, -1.000000
228,1,489335, -1.000000
229,0,2004318071, 27.879999
229,1,286331153, 18.620001
230,0,2004318071, 17.670000
230,1,286331153, 24.280001
231,0,1717986918, 35.900002
231,1,1717986918, 35.639999
232,0,2004318071, 17.670000
232,1,286331153, 18.620001
233,0,522133279, 25.350000
233,1,117901063, 21.030001
234,0,522133279, 21.020000
234,1,117901063, 26.590000
235,0,2004318071, 27.879999
235,1,286331153, 18.620001
236,0,1465341783, 21.020000
236,1,353703189, 26.590000
237,0,2139062143, 31.150000
237,1,16843009, 22.879999
238,0,1869573999, -1.000000
238,1,101058054, -1.000000
239,0,536813567, 24.190001
239,1,458759, 26.000000
240,0,259985279, -1.000000
240,1,17760527, -1.000000
241,0,536813567, 31.780001
241,1,458759, 26.000000
242,0,259985279, -1.000000
242,1,17760527, -1.000000
243,0,402593791, -1.000000
243,1,1507351, -1.000000
244,0,2004842367, 24.190001
244,1,17891601, 35.830002
245,0,1879011327, -1.000000
245,1,393222, -1.000000
246,0,287309823, 36.279999
246,1,1911, 29.040001
247,0,134217727, -1.000000
247,1,31, -1.000000
248,0,134217727, -1.000000
248,1,31, -1.000000
249,0,393740287, -1.000000
249,1,4375, -1.000000
250,0,522133503, 28.690001
250,1,460551, 29.040001
251,0,936247295, -1.000000
251,1,4940, -1.000000
252,0,268402687, -1.000000
252,1,65551, -1.000000
253,0,522133503, 36.279999
253,1,460551, 29.040001
254,0,1718616063, -1.000000
254,1,1638, -1.000000
255,0,268402687, -1.000000
255,1,65551, -1.000000
256,0,936214495, -1.000000
256,1,17044300, -1.000000
257,0,387389439, -1.000000
257,1,1513239, -1.000000
258,0,2004318071, 17.670000
258,1,286331153, 24.280001
259,0,2139062143, 31.150000
259,1,16843009, 22.879999
260,0,522133279, 21.020000
260,1,117901063, 26.590000
261,0,1869573999, -1.000000
261,1,101058054, -1.000000
262,0,134154239, -1.000000
262,1,2031647, -1.000000
263,0,536813567, 24.190001
263,1,458759, 35.830002
264,0,134154239, -1.000000
264,1,2031647, -1.000000
265,0,536813567, 31.780001
265,1,458759, 26.000000
266,0,402593791, -1.000000
266,1,1507351, -1.000000
267,0,536813567, 24.190001
267,1,458759, 26.000000
268,0,1718576751, -1.000000
268,1,107349606, -1.000000
269,0,125304831, -1.000000
269,1,4383, -1.000000
270,0,2097151, -1.000000
270,1,2047, -1.000000
271,0,2097151, -1.000000
271,1,2047, -1.000000
272,0,286785535, -1.000000
272,1,6007, -1.000000
273,0,134217727, -1.000000
273,1,31, -1.000000
274,0,869040095, -1.000000
274,1,17052620, -1.000000
275,0,287309823, 28.690001
275,1,1911, 37.939999
276,0,134217727, -1.000000
276,1,31, -1.000000
277,0,1717989375, -1.000000
277,1,419430, -1.000000
278,0,287309823, 36.279999
278,1,1911, 29.040001
279,0,936214495, -1.000000
279,1,17044300, -1.000000
280,0,402653183, -1.000000
280,1,23, -1.000000
281,0,1717986918, 35.639999
281,1,1717986918, 35.900002
282,0,2004318071, 27.879999
282,1,286331153, 18.620001
283,0,1768515945, -1.000000
283,1,1768515945, -1.000000
284,0,505290270, -1.000000
284,1,505290270, -1.000000
285,0,1448498774, -1.000000
285,1,1448498774, -1.000000
286,0,522133279, 25.350000
286,1,117901063, 21.030001
287,0,522133279, 21.020000
287,1,117901063, 26.590000
288,0,1718183529, -1.000000
288,1,1718183529, -1.000000
289,0,287183134, -1.000000
289,1,518921966, -1.000000
290,0,401086440, -1.000000
290,1,401086440, -1.000000
291,0,385226486, -1.000000
291,1,112592566, -1.000000
292,0,133695480, -1.000000
292,1,133695480, -1.000000
293,0,385226486, -1.000000
293,1,112592566, -1.000000
294,0,133695480, -1.000000
294,1,133695480, -1.000000
295,0,117376767, -1.000000
295,1,7274607, -1.000000
296,0,116786934, -1.000000
296,1,116786934, -1.000000
297,0,117376767, -1.000000
297,1,7274607, -1.000000
298,0,134154239, -1.000000
298,1,2031647, -1.000000
299,0,252776209, -1.000000
299,1,259460983, -1.000000
300,0,33489407, 25.920000
300,1,8323199, 25.270000
301,0,33489407, 25.920000
301,1,8323199, 25.270000
302,0,364844479, -1.000000
302,1,27984299, -1.000000
303,0,369038847, -1.000000
303,1,5701719, -1.000000
304,0,387389416, -1.000000
304,1,387389416, -1.000000
305,0,919170195, -1.000000
305,1,919170195, -1.000000
306,0,375846502, -1.000000
306,1,107394662, -1.000000
307,0,1717987737, -1.000000
307,1,1717987737, -1.000000
308,0,117901304, -1.000000
308,1,133757176, -1.000000
309,0,375846502, -1.000000
309,1,107394662, -1.000000
310,0,869035155, -1.000000
310,1,869035155, -1.000000
311,0,117901304, -1.000000
311,1,133757176, -1.000000
312,0,286781160, -1.000000
312,1,286781160, -1.000000
313,0,2091240, -1.000000
313,1,134211816, -1.000000
314,0,2097120, -1.000000
314,1,2097120, -1.000000
315,0,125298920, -1.000000
315,1,287303912, -1.000000
316,0,107413503, -1.000000
316,1,26223, -1.000000
317,0,432543, -1.000000
317,1,107388927, -1.000000
318,0,458742, -1.000000
318,1,458742, -1.000000
319,0,458751, -1.000000
319,1,28671, -1.000000
320,0,524287, -1.000000
320,1,8191, -1.000000
321,0,17952767, -1.000000
321,1,126703, -1.000000
322,0,252776721, -1.000000
322,1,259487607, -1.000000
323,0,17956863, -1.000000
323,1,30591, -1.000000
324,0,1572863, -1.000000
324,1,6143, -1.000000
325,0,301960846, -1.000000
325,1,7835278, -1.000000
326,0,16717591, -1.000000
326,1,16717591, -1.000000
327,0,1572863, -1.000000
327,1,6143, -1.000000
328,0,524287, -1.000000
328,1,8191, -1.000000
329,0,17822207, -1.000000
329,1,520439, -1.000000
330,0,17825791, -1.000000
330,1,3967, -1.000000
331,0,2097151, -1.000000
331,1,2047, -1.000000
332,0,117960959, -1.000000
332,1,1044977, -1.000000
333,0,16713479, -1.000000
333,1,16719647, -1.000000
334,0,524287, -1.000000
334,1,8191, -1.000000
335,0,524287, -1.000000
335,1,8191, -1.000000
336,0,17822207, -1.000000
336,1,520439, -1.000000
337,0,17825791, -1.000000
337,1,3967, -1.000000
338,0,2097151, -1.000000
338,1,2047, -1.000000
339,0,7864079, -1.000000
339,1,1048337, -1.000000
340,0,16713479, -1.000000
340,1,16719647, -1.000000
341,0,524287, -1.000000
341,1,8191, -1.000000
342,0,101058294, -1.000000
342,1,116848374, -1.000000
343,0,2004318071, 27.879999
343,1,286331153, 18.620001
344,0,522133279, 25.350000
344,1,117901063, 21.030001
345,0,522133279, 21.020000
345,1,117901063, 26.590000
346,0,134154239, -1.000000
346,1,2031647, -1.000000
347,0,134154239, -1.000000
347,1,2031647, -1.000000
348,0,402593791, -1.000000
348,1,1507351, -1.000000
349,0,287248671, 23.030001
349,1,125241207, 22.709999
350,0,125304831, -1.000000
350,1,4383, -1.000000
351,0,2097151, -1.000000
351,1,2047, -1.000000
352,0,2097151, -1.000000
352,1,2047, -1.000000
353,0,286785535, -1.000000
353,1,6007, -1.000000
354,0,3366783, -1.000000
354,1,17118207, -1.000000
355,0,286334975, -1.000000
355,1,489335, -1.000000
356,0,87515007, -1.000000
356,1,17109855, -1.000000
357,0,2004318071, 17.670000
357,1,286331153, 24.280001
358,0,387389207, 33.799999
358,1,387389207, 31.980000
359,0,522133279, 21.020000
359,1,117901063, 26.590000
360,0,522133279, 25.350000
360,1,117901063, 21.030001
361,0,393680759, -1.000000
361,1,286724375, -1.000000
362,0,134154239, -1.000000
362,1,2031647, -1.000000
363,0,134154239, -1.000000
363,1,2031647, -1.000000
364,0,287248671, 23.030001
364,1,125241207, 22.709999
365,0,20386687, -1.000000
365,1,20386687, -1.000000
366,0,286750583, -1.000000
366,1,286332791, -1.000000
367,0,20395007, -1.000000
367,1,3347327, -1.000000
368,0,125304831, -1.000000
368,1,4383, -1.000000
369,0,1572863, -1.000000
369,1,6143, -1.000000
370,0,2097151, -1.000000
370,1,2047, -1.000000
371,0,2097151, -1.000000
371,1,2047, -1.000000
372,0,286334975, -1.000000
372,1,489335, -1.000000
373,0,2004318071, 27.879999
373,1,286331153, 18.620001
374,0,2004318071, 17.670000
374,1,286331153, 24.280001
375,0,1717986918, 35.900002
375,1,1717986918, 35.639999
376,0,2004318071, 17.670000
376,1,286331153, 18.620001
377,0,522133279, 25.350000
377,1,117901063, 21.030001
378,0,522133279, 21.020000
378,1,117901063, 26.590000
379,0,2004318071, 17.670000
379,1,286331153, 24.280001
380,0,1465341783, 21.020000
380,1,353703189, 26.590000
381,0,2139062143, 21.379999
381,1,16843009, 26.600000
382,0,1869573999, -1.000000
382,1,101058054, -1.000000
383,0,536813567, 24.190001
383,1,458759, 26.000000
384,0,259985279, -1.000000
384,1,17760527, -1.000000
385,0,536813567, 24.190001
385,1,458759, 35.830002
386,0,259985279, -1.000000
386,1,17760527, -1.000000
387,0,402593791, -1.000000
387,1,1507351, -1.000000
388,0,2004842367, 24.190001
388,1,17891601, 35.830002
389,0,1879011327, -1.000000
389,1,393222, -1.000000
390,0,287309823, 28.690001
390,1,1911, 29.040001
391,0,134217727, -1.000000
391,1,31, -1.000000
392,0,134217727, -1.000000
392,1,31, -1.000000
393,0,393740287, -1.000000
393,1,4375, -1.000000
394,0,522133503, 36.279999
394,1,460551, 29.040001
395,0,936247295, -1.000000
395,1,4940, -1.000000
396,0,268402687, -1.000000
396,1,65551, -1.000000
397,0,522133503, 28.690001
397,1,460551, 37.939999
398,0,1718616063, -1.000000
398,1,1638, -1.000000
399,0,268402687, -1.000000
399,1,65551, -1.000000
400,0,936214495, -1.000000
400,1,17044300, -1.000000
401,0,387389439, -1.000000
401,1,1513239, -1.000000
402,0,2004318071, 27.879999
402,1,286331153, 18.620001
403,0,2139062143, 31.150000
403,1,16843009, 22.879999
404,0,522133279, 25.350000
404,1,117901063, 21.030001
405,0,1869573999, -1.000000
405,1,101058054, -1.000000
406,0,134154239, -1.000000
406,1,2031647, -1.000000
407,0,536813567, 24.190001
407,1,458759, 35.830002
408,0,134154239, -1.000000
408,1,2031647, -1.000000
409,0,536813567, 31.780001
409,1,458759, 26.000000
410,0,402593791, -1.000000
410,1,1507351, -1.000000
411,0,536813567, 24.190001
411,1,458759, 26.000000
412,0,1718576751, -1.000000
412,1,107349606, -1.000000
413,0,125304831, -1.000000
413,1,4383, -1.000000
414,0,2097151, -1.000000
414,1,2047, -1.000000
415,0,2097151, -1.000000
415,1,2047, -1.000000
416,0,286785535, -1.000000
416,1,6007, -1.000000
417,0,134217727, -1.000000
417,1,31, -1.000000
418,0,869040095, -1.000000
418,1,17052620, -1.000000
419,0,287309823, 28.690001
419,1,1911, 29.040001
420,0,134217727, -1.000000
420,1,31, -1.000000
421,0,1717989375, -1.000000
421,1,419430, -1.000000
422,0,287309823, 36.279999
422,1,1911, 29.040001
423,0,936214495, -1.000000
423,1,17044300, -1.000000
424,0,402653183, -1.000000
424,1,23, -1.000000
425,0,1717986918, 35.639999
425,1,1717986918, 35.900002
426,0,2004318071, 17.670000
426,1,286331153, 18.620001
427,0,1768515945, -1.000000
427,1,1768515945, -1.000000
428,0,505290270, -1.000000
428,1,505290270, -1.000000
429,0,1448498774, -1.000000
429,1,1448498774, -1.000000
430,0,522133279, 21.020000
430,1,117901063, 26.590000
431,0,522133279, 25.350000
431,1,117901063, 21.030001
432,0,1718183529, -1.000000
432,1,1718183529, -1.000000
433,0,287183134, -1.000000
433,1,518921966, -1.000000
434,0,401086440, -1.000000
434,1,401086440, -1.000000
435,0,385226486, -1.000000
435,1,112592566, -1.000000
436,0,133695480, -1.000000
436,1,133695480, -1.000000
437,0,385226486, -1.000000
437,1,112592566, -1.000000
438,0,133695480, -1.000000
438,1,133695480, -1.000000
439,0,117376767, -1.000000
439,1,7274607, -1.000000
440,0,116786934, -1.000000
440,1,116786934, -1.000000
441,0,117376767, -1.000000
441,1,7274607, -1.000000
442,0,134154239, -1.000000
442,1,2031647, -1.000000
443,0,252776209, -1.000000
443,1,259460983, -1.000000
444,0,33489407, 28.330000
444,1,8323199, 25.270000
445,0,33489407, 25.920000
445,1,8323199, 25.270000
446,0,364844479, -1.000000
446,1,27984299, -1.000000
447,0,369038847, -1.000000
447,1,5701719, -1.000000
448,0,387389416, -1.000000
448,1,387389416, -1.000000
449,0,919170195, -1.000000
449,1,919170195, -1.000000
450,0,375846502, -1.000000
450,1,107394662, -1.000000
451,0,1717987737, -1.000000
451,1,1717987737, -1.000000
452,0,117901304, -1.000000
452,1,133757176, -1.000000
453,0,375846502, -1.000000
453,1,107394662, -1.000000
454,0,869035155, -1.000000
454,1,869035155, -1.000000
455,0,117901304, -1.000000
455,1,133757176, -1.000000
456,0,286781160, -1.000000
456,1,286781160, -1.000000
457,0,2091240, -1.000000
457,1,134211816, -1.000000
458,0,2097120, -1.000000
458,1,2097120, -1.000000
459,0,125298920, -1.000000
459,1,287303912, -1.000000
460,0,107413503, -1.000000
460,1,26223, -1.000000
461,0,432543, -1.000000
461,1,107388927, -1.000000
462,0,458742, -1.000000
462,1,458742, -1.000000
463,0,458751, -1.000000
463,1,28671, -1.000000
464,0,524287, -1.000000
464,1,8191, -1.000000
465,0,17952767, -1.000000
465,1,126703, -1.000000
466,0,252776721, -1.000000
466,1,259487607, -1.000000
467,0,17956863, -1.000000
467,1,30591, -1.000000
468,0,1572863, -1.000000
468,1,6143, -1.000000
469,0,301960846, -1.000000
469,1,7835278, -1.000000
470,0,16717591, -1.000000
470,1,16717591, -1.000000
471,0,1572863, -1.000000
471,1,6143, -1.000000
472,0,524287, -1.000000
472,1,8191, -1.000000
473,0,17822207, -1.000000
473,1,520439, -1.000000
474,0,17825791, -1.000000
474,1,3967, -1.000000
475,0,2097151, -1.000000
475,1,2047, -1.000000
476,0,117960959, -1.000000
476,1,1044977, -1.000000
477,0,16713479, -1.000000
477,1,16719647, -1.000000
478,0,524287, -1.000000
478,1,8191, -1.000000
479,0,524287, -1.000000
479,1,8191, -1.000000
480,0,17822207, -1.000000
480,1,520439, -1.000000
481,0,17825791, -1.000000
481,1,3967, -1.000000
482,0,2097151, -1.000000
482,1,2047, -1.000000
483,0,7864079, -1.000000
483,1,1048337, -1.000000
484,0,16713479, -1.000000
484,1,16719647, -1.000000
485,0,524287, -1.000000
485,1,8191, -1.000000
486,0,101058294, -1.000000
486,1,116848374, -1.000000
487,0,2004318071, 27.879999
487,1,286331153, 18.620001
488,0,522133279, 25.350000
488,1,117901063, 21.030001
489,0,522133279, 21.020000
489,1,117901063, 26.590000
490,0,134154239, -1.000000
490,1,2031647, -1.000000
491,0,134154239, -1.000000
491,1,2031647, -1.000000
492,0,402593791, -1.000000
492,1,1507351, -1.000000
493,0,287248671, 23.030001
493,1,125241207, 22.709999
494,0,125304831, -1.000000
494,1,4383, -1.000000
495,0,2097151, -1.000000
495,1,2047, -1.000000
496,0,2097151, -1.000000
496,1,2047, -1.000000
497,0,286785535, -1.000000
497,1,6007, -1.000000
498,0,3366783, -1.000000
498,1,17118207, -1.000000
499,0,286334975, -1.000000
499,1,489335, -1.000000
500,0,87515007, -1.000000
500,1,17109855, -1.000000
501,0,2004318071, 17.670000
501,1,286331153, 24.280001
502,0,387389207, 33.799999
