Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
106,   1035, 19.2,     1158.00, 80.8,  3128.09, 15.0
107,    827, 15.1,      989.57, 84.9,  3610.86, 19.6
108,    788, 13.6,      941.75, 86.4,  3637.26, 21.3
109,    970, 18.6,     1100.61, 81.4,  3180.98, 26.4
110,    866, 17.0,     1009.40, 83.0,  3562.59, 18.0
111,    788, 13.8,      956.21, 86.2,  3687.82, 20.9
112,    885, 18.0,     1031.10, 82.0,  3378.99, 20.1
113,    889, 17.0,     1043.46, 83.0,  3451.95, 21.9
114,    793, 15.5,      967.65, 84.5,  3564.34, 19.8
115,    834, 15.7,      988.64, 84.3,  3541.85, 20.1
116,   1013, 20.6,     1123.71, 79.4,  3042.76, 25.7
117,    801, 15.6,      978.14, 84.4,  3634.63, 21.1
118,    849, 15.2,      975.58, 84.8,  3530.89, 20.0
119,    805, 15.3,      971.14, 84.7,  3684.18, 20.5
120,    925, 20.4,     1044.39, 79.6,  3342.11, 22.4
121,    818, 15.0,      991.67, 85.0,  3579.01, 21.5
122,    964, 20.0,     1095.95, 80.0,  3234.56, 22.4
123,    856, 17.4,     1003.80, 82.6,  3412.30, 20.6
124,    798, 15.4,      967.41, 84.6,  3582.76, 19.8
125,    838, 17.2,      993.77, 82.8,  3591.37, 21.0
126,    898, 17.7,     1040.66, 82.3,  3466.01, 18.2
127,    834, 14.3,      987.24, 85.7,  3564.43, 21.5
128,    855, 15.4,      990.97, 84.6,  3545.60, 19.3
129,    816, 16.4,      992.84, 83.6,  3498.51, 18.4
130,    846, 16.1,      982.58, 83.9,  3590.86, 19.7
131,    952, 19.3,     1063.76, 80.7,  3446.14, 23.1
132,    767, 12.8,      955.51, 87.2,  3625.05, 20.2
133,    765, 14.0,      928.45, 86.0,  3617.74, 19.6
134,    844, 17.2,      997.74, 82.8,  3561.32, 20.0
135,    803, 18.2,      973.01, 81.8,  3629.81, 19.4
136,    805, 16.5,      976.51, 83.5,  3575.93, 21.4
137,   1049, 21.1,     1155.90, 78.9,  3040.09, 25.5
138,    845, 15.6,      978.38, 84.4,  3555.51, 18.8
139,    847, 18.8,      994.24, 81.2,  3575.09, 19.4
140,    792, 15.4,      972.54, 84.6,  3641.07, 19.7
141,    802, 15.6,      981.41, 84.4,  3543.07, 20.7
142,    867, 17.5,     1008.00, 82.5,  3437.64, 20.1
143,    897, 18.4,     1041.36, 81.6,  3321.33, 22.1
144,    788, 16.4,      962.75, 83.6,  3643.62, 20.1
145,    798, 14.2,      964.38, 85.8,  3522.80, 19.0
146,    856, 17.2,      999.14, 82.8,  3539.81, 18.7
147,    789, 15.7,      963.45, 84.3,  3608.27, 19.1
148,   1027, 19.8,     1131.87, 80.2,  3157.84, 26.6
149,    832, 16.1,      982.11, 83.9,  3609.22, 21.3
150,    832, 16.2,      983.51, 83.8,  3627.30, 21.6
151,    844, 17.5,      995.17, 82.5,  3479.07, 20.7
152,    822, 16.5,      977.68, 83.5,  3618.11, 20.9
153,    853, 17.6,      993.54, 82.4,  3450.56, 18.2
154,    876, 17.5,     1030.16, 82.5,  3481.37, 22.3
155,    865, 17.2,     1016.17, 82.8,  3333.10, 20.8
156,    843, 15.7,      988.87, 84.3,  3555.39, 18.1
157,    787, 13.5,      964.38, 86.5,  3532.84, 20.3
158,    787, 15.9,      951.32, 84.1,  3530.60, 18.7
159,    957, 20.6,     1074.49, 79.4,  3323.14, 23.8
160,    906, 17.3,     1050.23, 82.7,  3458.89, 17.4
161,   1058, 19.9,     1173.63, 80.1,  3056.38, 14.8
162,    829, 16.2,      979.78, 83.8,  3492.37, 19.2
163,    864, 16.6,     1032.26, 83.4,  3489.71, 23.1
164,    927, 19.0,     1043.69, 81.0,  3471.22, 20.1
165,    779, 13.9,      947.58, 86.1,  3728.60, 22.5
166,    810, 15.4,      969.28, 84.6,  3686.89, 20.2
167,    773, 12.4,      937.32, 87.6,  3705.49, 20.7
168,    803, 12.7,      961.81, 87.3,  3463.24, 19.8
169,    829, 16.4,      987.01, 83.6,  3467.23, 19.5
170,   1095, 22.8,     1186.70, 77.2,  3055.08, 14.9
171,    831, 15.9,      988.64, 84.1,  3568.23, 18.7
172,    787, 14.7,      948.05, 85.3,  3689.65, 19.7
173,    889, 18.4,     1024.57, 81.6,  3471.25, 19.8
174,   1083, 22.0,     1166.17, 78.0,  3184.01, 13.9
175,    798, 13.8,      971.14, 86.2,  3603.09, 19.9
176,   1099, 20.2,     1184.36, 79.8,  3078.86, 14.6
177,    777, 12.0,      953.65, 88.0,  3517.30, 19.8
178,    923, 18.6,     1054.19, 81.4,  3456.44, 22.4
179,    810, 15.1,      978.84, 84.9,  3622.20, 21.4
180,    832, 15.7,      987.71, 84.3,  3555.52, 19.0
181,   1032, 21.4,     1139.11, 78.6,  3198.05, 15.1
182,    827, 17.2,      992.61, 82.8,  3555.26, 18.7
183,    947, 19.5,     1088.95, 80.5,  3345.84, 22.2
184,    779, 14.2,      963.68, 85.8,  3615.18, 20.3
185,    855, 15.9,     1009.64, 84.1,  3441.75, 21.3
186,    785, 13.1,      953.88, 86.9,  3557.53, 19.5
187,    819, 15.1,     1002.87, 84.9,  3599.28, 22.6
188,    788, 15.1,      963.68, 84.9,  3582.31, 20.8
189,    813, 13.2,      974.64, 86.8,  3557.78, 19.9
190,    842, 14.4,     1000.77, 85.6,  3448.94, 20.5
191,    828, 15.7,      987.01, 84.3,  3565.83, 20.3
192,    795, 15.7,      967.65, 84.3,  3553.64, 20.0
193,    781, 15.6,      962.05, 84.4,  3666.14, 20.2
194,    825, 16.1,      969.51, 83.9,  3571.62, 18.4
195,    966, 18.7,     1092.45, 81.3,  3331.30, 25.4
196,    825, 15.3,      970.21, 84.7,  3520.95, 18.7
197,    858, 15.2,     1003.57, 84.8,  3528.32, 22.1
198,    830, 15.7,      980.01, 84.3,  3669.41, 19.9
199,   1012, 21.1,     1117.18, 78.9,  3180.00, 23.0
200,    862, 15.4,      990.97, 84.6,  3577.72, 20.8
201,    818, 14.3,      985.37, 85.7,  3615.69, 19.8
202,    807, 13.4,      975.11, 86.6,  3613.85, 20.6
203,    796, 15.1,      967.88, 84.9,  3623.52, 19.6
204,    862, 18.4,     1010.10, 81.6,  3554.57, 21.9
205,    821, 13.0,      976.04, 87.0,  3581.62, 21.0
206,    859, 14.8,     1006.60, 85.2,  3298.61, 17.7
207,    817, 17.1,      961.35, 82.9,  3608.52, 20.0
208,    793, 11.9,      970.21, 88.1,  3467.78, 19.8
209,    967, 20.0,     1086.62, 80.0,  3431.07, 23.7
210,    858, 18.9,     1005.44, 81.1,  3533.16, 18.5
211,    805, 14.7,      975.81, 85.3,  3578.23, 19.8
212,    844, 15.4,     1003.80, 84.6,  3474.38, 18.7
213,    881, 18.5,      995.87, 81.5,  3595.28, 18.5
214,    873, 17.9,     1000.77, 82.1,  3476.65, 17.9
215,    797, 13.0,      973.71, 87.0,  3614.87, 20.1
216,    837, 15.9,     1009.64, 84.1,  3428.97, 20.1
217,    811, 14.9,      982.58, 85.1,  3520.07, 19.6
218,   1138, 22.1,     1215.16, 77.9,  2916.49, 26.5
219,    802, 16.0,      976.28, 84.0,  3593.44, 20.1
220,    928, 17.2,     1061.19, 82.8,  3262.10, 17.7
221,    827, 14.4,      984.21, 85.6,  3504.02, 19.3
222,    819, 14.8,      975.34, 85.2,  3533.64, 18.8
223,    818, 15.9,      991.21, 84.1,  3543.66, 19.6
224,    792, 15.0,      970.68, 85.0,  3678.06, 22.0
225,    818, 14.2,      981.18, 85.8,  3670.49, 20.0
226,    788, 13.7,      957.15, 86.3,  3636.93, 19.9
227,    772, 15.3,      958.31, 84.7,  3676.21, 19.9
228,    769, 15.9,      937.55, 84.1,  3679.84, 20.2
229,    809, 16.2,      986.77, 83.8,  3602.46, 19.9
230,    843, 15.8,      988.41, 84.2,  3582.13, 20.2
231,    865, 17.2,     1004.74, 82.8,  3475.68, 20.9
232,    783, 13.4,      955.51, 86.6,  3641.79, 21.1
233,    841, 15.0,      975.34, 85.0,  3417.65, 19.1
234,    787, 14.2,      971.84, 85.8,  3553.28, 20.7
235,   1123, 21.5,     1213.52, 78.5,  2949.81, 27.1
236,    928, 19.2,     1062.36, 80.8,  3422.16, 16.5
237,    845, 15.7,      999.14, 84.3,  3645.49, 21.1
238,    880, 15.1,     1016.63, 84.9,  3514.06, 23.0
239,   1097, 22.1,     1192.76, 77.9,  2950.34, 26.3
240,    886, 16.3,     1029.00, 83.7,  3510.90, 22.1
241,    817, 16.6,      983.51, 83.4,  3484.37, 20.6
242,    818, 14.5,      964.15, 85.5,  3598.11, 19.1
243,   1094, 23.1,     1197.89, 76.9,  3144.75, 14.1
244,    803, 14.1,      982.58, 85.9,  3584.31, 22.5
245,    837, 16.2,      986.07, 83.8,  3651.72, 20.7
246,    811, 15.0,      970.91, 85.0,  3435.15, 19.1
247,   1025, 22.5,     1139.34, 77.5,  3228.51, 23.9
248,    837, 17.6,      987.01, 82.4,  3594.43, 18.3
249,   1105, 22.4,     1192.53, 77.6,  2943.45, 25.9
250,    923, 16.3,     1059.32, 83.7,  3185.03, 25.4
251,    972, 22.3,     1070.76, 77.7,  3328.99, 18.7
252,    838, 16.2,      977.91, 83.8,  3508.24, 19.5
253,    802, 12.0,      974.41, 88.0,  3581.91, 20.9
254,    964, 19.8,     1105.98, 80.2,  3306.21, 16.3
255,    858, 18.1,     1012.90, 81.9,  3482.62, 21.4
256,    787, 13.2,      963.68, 86.8,  3579.35, 21.5
257,    777, 15.3,      957.38, 84.7,  3662.58, 20.5
258,   1019, 19.7,     1127.91, 80.3,  3030.63, 22.9
259,    830, 15.1,      995.64, 84.9,  3509.87, 20.5
260,    860, 19.8,     1002.64, 80.2,  3488.45, 19.8
261,    941, 18.9,     1061.42, 81.1,  3523.12, 22.5
262,    915, 18.7,     1044.63, 81.3,  3233.77, 21.1
263,    790, 14.2,      976.74, 85.8,  3532.54, 20.0
264,    853, 16.3,      999.60, 83.7,  3404.17, 18.9
265,    774, 13.4,      958.55, 86.6,  3656.91, 20.4
266,   1023, 20.7,     1145.17, 79.3,  3191.49, 15.1
267,    869, 17.6,     1019.67, 82.4,  3606.24, 21.9
268,    835, 16.8,      988.17, 83.2,  3535.78, 19.3
269,    813, 15.9,      970.21, 84.1,  3628.18, 21.5
270,    999, 20.3,     1108.55, 79.7,  3200.38, 25.0
271,   1080, 21.2,     1175.50, 78.8,  2936.94, 26.7
272,    846, 16.1,      993.07, 83.9,  3614.99, 21.9
273,    819, 15.1,      992.37, 84.9,  3502.35, 19.0
274,    807, 14.4,      969.05, 85.6,  3603.12, 19.6
275,    773, 15.8,      946.18, 84.2,  3715.01, 19.3
276,    817, 15.5,      981.41, 84.5,  3490.72, 18.6
277,   1111, 23.6,     1187.63, 76.4,  3046.48, 13.6
278,    794, 17.3,      968.81, 82.7,  3669.60, 19.8
279,   1000, 19.4,     1115.78, 80.6,  3117.23, 24.5
280,    869, 16.1,     1011.04, 83.9,  3398.65, 18.1
281,    959, 18.7,     1098.52, 81.3,  3237.00, 25.0
282,    849, 17.0,      990.51, 83.0,  3473.86, 19.4
283,    845, 16.0,      985.61, 84.0,  3624.76, 18.9
284,    972, 20.2,     1070.29, 79.8,  3279.92, 21.9
285,    899, 16.0,     1051.86, 84.0,  3439.40, 17.8
286,    820, 14.5,      987.24, 85.5,  3547.33, 20.7
287,    781, 14.2,      962.28, 85.8,  3506.63, 19.5
288,    807, 14.4,      966.95, 85.6,  3522.29, 20.1
289,    920, 18.5,     1053.49, 81.5,  3484.69, 23.5
290,    960, 19.9,     1089.18, 80.1,  3328.40, 23.2
291,   1012, 19.6,     1125.81, 80.4,  3223.75, 24.9
292,    961, 19.1,     1095.48, 80.9,  3282.09, 23.0
293,    847, 19.2,      983.98, 80.8,  3595.91, 18.8
294,    782, 17.0,      950.15, 83.0,  3690.53, 19.7
295,    804, 17.8,      963.68, 82.2,  3648.05, 19.7
296,    795, 16.0,      972.54, 84.0,  3560.65, 19.9
297,    823, 16.2,      973.94, 83.8,  3634.09, 21.0
298,    795, 15.7,      953.88, 84.3,  3668.75, 19.7
299,    864, 16.3,     1012.44, 83.7,  3462.81, 21.3
300,    812, 17.0,      973.48, 83.0,  3605.81, 18.8
301,    944, 16.4,     1063.52, 83.6,  3434.86, 16.9
302,    823, 13.5,      973.24, 86.5,  3593.11, 19.9
303,    841, 16.6,      992.61, 83.4,  3649.50, 18.9
304,    965, 18.9,     1093.38, 81.1,  3359.50, 15.8
305,   1017, 23.4,     1086.39, 76.6,  3481.87, 15.8
306,    855, 16.0,     1016.40, 84.0,  3508.30, 22.6
307,    789, 15.3,      939.42, 84.7,  3519.85, 19.4
308,    760, 15.7,      949.22, 84.3,  3702.86, 19.6
309,    786, 13.2,      959.95, 86.8,  3570.22, 21.1
310,    807, 16.5,      970.91, 83.5,  3509.64, 18.2
311,    915, 18.7,     1028.53, 81.3,  3477.83, 20.3
312,   1013, 19.7,     1138.17, 80.3,  3046.20, 14.5
313,    951, 19.7,     1077.52, 80.3,  3345.93, 19.2
314,    816, 15.8,      972.31, 84.2,  3568.45, 19.4
315,    963, 19.2,     1091.05, 80.8,  3236.60, 23.7
316,    801, 15.2,      976.98, 84.8,  3495.54, 18.5
317,    898, 15.8,     1036.93, 84.2,  3418.20, 21.8
318,   1032, 21.8,     1138.17, 78.2,  3166.89, 23.6
319,   1035, 18.5,     1153.10, 81.5,  3062.85, 24.8
320,    970, 17.5,     1115.54, 82.5,  3108.05, 26.9
321,    846, 16.8,      999.84, 83.2,  3489.37, 19.4
322,    806, 15.4,      983.04, 84.6,  3568.58, 21.3
323,    753, 13.8,      940.82, 86.2,  3654.11, 20.7
324,   1109, 22.1,     1212.36, 77.9,  2951.97, 24.9
325,    826, 16.2,      980.01, 83.8,  3670.97, 20.2
326,    844, 18.7,      988.87, 81.3,  3648.60, 19.0
327,    859, 17.1,     1008.94, 82.9,  3446.99, 20.0
328,    796, 12.9,      959.48, 87.1,  3545.23, 20.0
329,   1048, 21.1,     1134.91, 78.9,  3115.96, 23.5
330,    831, 14.3,      978.38, 85.7,  3498.55, 20.3
331,    833, 14.4,     1001.24, 85.6,  3391.19, 21.4
332,    834, 17.0,     1004.97, 83.0,  3492.30, 18.8
333,    802, 15.6,      966.95, 84.4,  3593.63, 19.2
334,    806, 14.6,      976.74, 85.4,  3660.27, 21.8
335,    839, 16.1,      994.71, 83.9,  3467.67, 19.7
336,    815, 15.5,      987.47, 84.5,  3521.18, 19.9
337,    867, 16.8,      998.21, 83.2,  3518.42, 18.7
338,    944, 16.8,     1071.69, 83.2,  3315.79, 17.3
339,    814, 14.6,      981.18, 85.4,  3569.93, 18.8
340,    902, 16.2,     1049.76, 83.8,  3293.70, 23.5
341,    829, 15.8,      988.17, 84.2,  3428.12, 20.4
342,    815, 16.3,      981.41, 83.7,  3486.61, 19.9
343,    752, 14.4,      935.69, 85.6,  3633.42, 19.8
344,    850, 15.1,     1000.07, 84.9,  3577.22, 22.0
345,    822, 15.1,      978.61, 84.9,  3661.35, 20.4
346,    815, 16.0,      975.11, 84.0,  3610.19, 19.8
347,   1018, 20.3,     1136.54, 79.7,  3154.88, 25.8
348,    824, 15.5,      971.84, 84.5,  3546.54, 20.1
349,    850, 16.0,     1010.57, 84.0,  3412.63, 23.1
350,    829, 14.7,      972.78, 85.3,  3568.65, 18.6
351,    821, 15.7,      980.01, 84.3,  3576.11, 19.0
352,    766, 10.7,      949.45, 89.3,  3594.40, 20.9
353,   1044, 19.3,     1149.14, 80.7,  3018.37, 28.1
354,    798, 14.3,      974.88, 85.7,  3518.77, 18.9
355,    874, 15.9,     1005.44, 84.1,  3421.63, 18.9
356,    824, 18.2,      977.91, 81.8,  3552.14, 19.2
357,    901, 19.2,     1053.49, 80.8,  3344.47, 22.2
358,    917, 18.8,     1043.46, 81.2,  3355.08, 20.6
359,   1016, 20.2,     1123.71, 79.8,  3179.51, 14.8
360,    769, 12.4,      967.65, 87.6,  3601.37, 20.2
361,    880, 17.7,     1037.40, 82.3,  3445.04, 23.1
362,    856, 15.8,     1007.77, 84.2,  3606.03, 22.5
363,    818, 14.9,      965.08, 85.1,  3601.65, 20.0
364,    788, 14.5,      956.91, 85.5,  3625.98, 19.7
365,    857, 17.3,     1022.47, 82.7,  3391.33, 20.0
366,    819, 15.6,      974.41, 84.4,  3556.09, 19.2
367,    847, 17.0,      987.47, 83.0,  3483.85, 19.4
368,    867, 16.6,     1007.54, 83.4,  3522.13, 20.6
369,   1082, 21.7,     1188.10, 78.3,  3186.03, 14.3
370,   1093, 19.6,     1184.83, 80.4,  2896.57, 27.9
371,   1052, 21.0,     1151.00, 79.0,  3106.60, 14.4
372,    926, 18.8,     1072.85, 81.2,  3245.32, 24.7
373,    748, 12.0,      929.62, 88.0,  3686.00, 22.7
374,    862, 17.9,     1015.70, 82.1,  3492.73, 19.1
375,    818, 16.4,      969.05, 83.6,  3674.58, 20.8
376,    835, 17.1,      979.78, 82.9,  3535.52, 19.0
377,    827, 16.1,      975.11, 83.9,  3619.66, 20.3
378,    776, 14.0,      946.42, 86.0,  3632.14, 21.6
379,    799, 14.1,      965.78, 85.9,  3629.91, 20.2
380,   1090, 21.4,     1195.09, 78.6,  3007.07, 14.3
381,    834, 16.5,      989.81, 83.5,  3499.62, 18.8
382,    822, 14.1,      976.28, 85.9,  3540.54, 20.8
383,   1075, 20.7,     1170.37, 79.3,  2989.59, 25.8
384,   1091, 22.3,     1191.59, 77.7,  3158.51, 14.2
385,    797, 12.8,      962.05, 87.2,  3492.55, 19.8
386,    811, 15.8,      979.54, 84.2,  3567.78, 21.6
387,    847, 16.9,      979.08, 83.1,  3591.08, 19.4
388,    872, 17.4,     1026.20, 82.6,  3536.61, 21.0
389,    920, 18.4,     1053.26, 81.6,  3438.74, 23.0
390,    775, 13.4,      945.25, 86.6,  3696.14, 21.5
391,    809, 14.5,      982.81, 85.5,  3566.36, 21.1
392,    815, 15.5,      977.44, 84.5,  3559.73, 18.8
393,    857, 17.6,      999.37, 82.4,  3635.68, 20.2
394,   1043, 22.7,     1141.91, 77.3,  3203.54, 24.9
395,    952, 19.0,     1060.49, 81.0,  3463.62, 23.1
396,    834, 15.7,      986.31, 84.3,  3471.04, 18.9
397,    895, 17.0,     1006.60, 83.0,  3445.14, 19.9
398,   1165, 24.1,     1233.12, 75.9,  2892.94, 24.9
399,    836, 16.1,      994.24, 83.9,  3457.83, 20.1
400,   1104, 21.9,     1189.26, 78.1,  3137.21, 14.7
401,    793, 12.6,      974.18, 87.4,  3491.08, 20.9
402,    802, 14.1,      945.25, 85.9,  3732.22, 20.3
403,    998, 19.9,     1109.01, 80.1,  3339.58, 16.1
404,    886, 18.5,     1027.83, 81.5,  3520.67, 17.9
405,   1040, 19.7,     1148.44, 80.3,  3260.71, 14.7
406,    791, 15.5,      965.55, 84.5,  3531.35, 20.1
407,    829, 16.8,     1001.70, 83.2,  3554.38, 21.2
408,    853, 15.8,      996.57, 84.2,  3542.36, 19.7
409,    848, 17.0,      980.71, 83.0,  3464.62, 20.5
410,    788, 16.6,      961.58, 83.4,  3575.56, 19.8
411,    774, 14.1,      942.45, 85.9,  3741.51, 20.5
412,    802, 13.6,      963.68, 86.4,  3442.81, 19.2
413,   1029, 20.3,     1126.04, 79.7,  3055.86, 24.2
414,    826, 14.8,      982.11, 85.2,  3552.35, 19.6
415,    821, 15.5,      991.67, 84.5,  3551.25, 19.7
416,    802, 15.3,      958.55, 84.7,  3532.15, 19.3
417,    832, 13.7,      977.44, 86.3,  3629.83, 21.2
418,   1107, 22.9,     1212.12, 77.1,  2925.77, 13.6
419,    791, 14.4,      960.41, 85.6,  3550.95, 20.4
420,    828, 16.7,      988.64, 83.3,  3527.43, 19.4
421,    829, 16.6,      991.91, 83.4,  3581.34, 19.3
422,    909, 17.2,     1046.73, 82.8,  3291.71, 22.0
423,    846, 16.3,      981.18, 83.7,  3617.02, 20.0
424,    808, 13.7,      968.58, 86.3,  3559.52, 19.4
425,    829, 15.6,      988.87, 84.4,  3566.32, 20.7
426,    811, 16.4,      970.44, 83.6,  3558.97, 19.9
427,   1097, 24.2,     1200.23, 75.8,  3045.11, 13.9
428,    834, 16.5,      983.28, 83.5,  3529.00, 20.6
429,    826, 16.0,      970.91, 84.0,  3549.26, 18.9
430,    954, 19.2,     1074.95, 80.8,  3352.32, 24.9
431,    993, 20.1,     1118.34, 79.9,  3124.38, 24.1
432,    879, 18.7,     1023.40, 81.3,  3518.08, 23.3
433,    836, 16.5,      994.71, 83.5,  3594.32, 21.8
434,    815, 14.2,      979.54, 85.8,  3532.55, 19.4
435,    860, 16.5,     1024.80, 83.5,  3482.42, 23.7
436,    789, 14.1,      947.12, 85.9,  3616.96, 19.8
437,   1023, 18.9,     1148.67, 81.1,  3141.45, 15.0
438,    778, 16.1,      955.28, 83.9,  3618.95, 19.7
439,    771, 13.7,      947.35, 86.3,  3668.97, 19.8
440,    790, 13.7,      958.31, 86.3,  3572.25, 21.0
441,    763, 14.0,      937.55, 86.0,  3615.97, 20.6
